#node	identifier	node_degree
AKT1	9606.ENSP00000451828	105
AKT2	9606.ENSP00000375892	37
AKT3	9606.ENSP00000500582	34
APC	9606.ENSP00000257430	37
APC2	9606.ENSP00000442954	13
ARAF	9606.ENSP00000290277	24
AXIN1	9606.ENSP00000262320	76
AXIN2	9606.ENSP00000302625	74
BAK1	9606.ENSP00000363591	5
BAX	9606.ENSP00000293288	14
BRAF	9606.ENSP00000419060	52
BRCA1	9606.ENSP00000418960	45
BRCA2	9606.ENSP00000369497	30
CCND1	9606.ENSP00000227507	107
CDK4	9606.ENSP00000257904	39
CDK6	9606.ENSP00000265734	30
CDKN1A	9606.ENSP00000384849	53
CSNK1A1L	9606.ENSP00000369126	6
CTNNB1	9606.ENSP00000495360	122
DDB2	9606.ENSP00000256996	6
DLL1	9606.ENSP00000355718	26
DLL3	9606.ENSP00000205143	13
DLL4	9606.ENSP00000249749	23
DVL1	9606.ENSP00000368166	55
DVL2	9606.ENSP00000005340	53
DVL3	9606.ENSP00000316054	48
E2F1	9606.ENSP00000345571	36
E2F2	9606.ENSP00000355249	14
E2F3	9606.ENSP00000262904	19
EGF	9606.ENSP00000265171	87
EGFR	9606.ENSP00000275493	94
ERBB2	9606.ENSP00000269571	76
ESR1	9606.ENSP00000405330	86
ESR2	9606.ENSP00000343925	37
FGF1	9606.ENSP00000480791	42
FGF10	9606.ENSP00000264664	65
FGF16	9606.ENSP00000399324	58
FGF17	9606.ENSP00000352414	55
FGF18	9606.ENSP00000274625	64
FGF19	9606.ENSP00000294312	44
FGF2	9606.ENSP00000264498	71
FGF20	9606.ENSP00000180166	58
FGF21	9606.ENSP00000471477	19
FGF22	9606.ENSP00000215530	57
FGF23	9606.ENSP00000237837	42
FGF3	9606.ENSP00000334122	63
FGF4	9606.ENSP00000168712	65
FGF5	9606.ENSP00000311697	58
FGF6	9606.ENSP00000228837	57
FGF7	9606.ENSP00000267843	59
FGF8	9606.ENSP00000321797	69
FGF9	9606.ENSP00000371790	61
FGFR1	9606.ENSP00000393312	60
FLT4	9606.ENSP00000261937	47
FOS	9606.ENSP00000306245	68
FRAT1	9606.ENSP00000360060	11
FRAT2	9606.ENSP00000360058	12
FZD1	9606.ENSP00000287934	43
FZD10	9606.ENSP00000229030	30
FZD2	9606.ENSP00000323901	38
FZD3	9606.ENSP00000240093	36
FZD4	9606.ENSP00000434034	39
FZD5	9606.ENSP00000354607	40
FZD6	9606.ENSP00000351605	38
FZD7	9606.ENSP00000286201	42
FZD8	9606.ENSP00000363826	40
FZD9	9606.ENSP00000345785	33
GADD45A	9606.ENSP00000360025	18
GADD45B	9606.ENSP00000215631	15
GADD45G	9606.ENSP00000252506	8
GRB2	9606.ENSP00000376345	64
GSK3B	9606.ENSP00000324806	104
HES1	9606.ENSP00000232424	16
HES5	9606.ENSP00000367714	15
HEY1	9606.ENSP00000338272	24
HEY2	9606.ENSP00000357348	16
HEYL	9606.ENSP00000361943	12
HRAS	9606.ENSP00000407586	65
IGF1	9606.ENSP00000376637	66
IGF1R	9606.ENSP00000497069	72
JAG1	9606.ENSP00000254958	57
JAG2	9606.ENSP00000328169	22
JUN	9606.ENSP00000360266	88
KIT	9606.ENSP00000288135	62
KRAS	9606.ENSP00000256078	80
LEF1	9606.ENSP00000265165	78
LRP5	9606.ENSP00000294304	56
LRP6	9606.ENSP00000261349	51
MAP2K1	9606.ENSP00000302486	43
MAP2K2	9606.ENSP00000262948	23
MAPK1	9606.ENSP00000215832	64
MAPK3	9606.ENSP00000263025	70
MTOR	9606.ENSP00000354558	68
MYC	9606.ENSP00000478887	96
NCOA1	9606.ENSP00000385216	16
NCOA3	9606.ENSP00000361066	25
NFKB2	9606.ENSP00000358983	13
NOTCH1	9606.ENSP00000498587	79
NOTCH2	9606.ENSP00000256646	43
NOTCH3	9606.ENSP00000263388	40
NOTCH4	9606.ENSP00000364163	28
NRAS	9606.ENSP00000358548	66
PGR	9606.ENSP00000325120	46
PIK3CA	9606.ENSP00000263967	73
PIK3CB	9606.ENSP00000501150	57
PIK3CD	9606.ENSP00000366563	30
PIK3R1	9606.ENSP00000428056	67
PIK3R2	9606.ENSP00000222254	48
PIK3R3	9606.ENSP00000262741	27
POLK	9606.ENSP00000241436	3
PTEN	9606.ENSP00000361021	91
RAF1	9606.ENSP00000401888	36
RB1	9606.ENSP00000267163	28
RPS6KB1	9606.ENSP00000225577	39
RPS6KB2	9606.ENSP00000308413	25
SHC1	9606.ENSP00000401303	62
SHC2	9606.ENSP00000264554	15
SHC3	9606.ENSP00000364995	20
SHC4	9606.ENSP00000329668	12
SOS1	9606.ENSP00000384675	53
SOS2	9606.ENSP00000216373	29
SP1	9606.ENSP00000329357	33
TCF7	9606.ENSP00000340347	39
TCF7L1	9606.ENSP00000282111	28
TCF7L2	9606.ENSP00000486891	37
TNFSF11	9606.ENSP00000381775	46
TP53	9606.ENSP00000269305	98
WNT1	9606.ENSP00000293549	73
WNT10A	9606.ENSP00000258411	38
WNT10B	9606.ENSP00000301061	43
WNT11	9606.ENSP00000325526	47
WNT16	9606.ENSP00000222462	40
WNT2	9606.ENSP00000265441	64
WNT2B	9606.ENSP00000358698	44
WNT3	9606.ENSP00000225512	59
WNT3A	9606.ENSP00000284523	73
WNT4	9606.ENSP00000290167	63
WNT5A	9606.ENSP00000264634	77
WNT5B	9606.ENSP00000380379	39
WNT6	9606.ENSP00000233948	43
WNT7A	9606.ENSP00000285018	50
WNT7B	9606.ENSP00000341032	47
WNT8A	9606.ENSP00000426653	40
WNT8B	9606.ENSP00000340677	41
WNT9A	9606.ENSP00000272164	40
WNT9B	9606.ENSP00000290015	38
