gene,score,mean_score,max_score,min_score,num_scored_seeds,best_seed,missing_seed_count
MAPK3,0.9734947085380554,0.9734947085380554,0.9734947085380554,0.9734947085380554,1,ERBB2,0
MAPK1,0.9468269944190979,0.9468269944190979,0.9468269944190979,0.9468269944190979,1,ERBB2,0
KIT,0.9371805191040039,0.9371805191040039,0.9371805191040039,0.9371805191040039,1,ERBB2,0
AKT2,0.9182350635528564,0.9182350635528564,0.9182350635528564,0.9182350635528564,1,ERBB2,0
AKT3,0.8844624161720276,0.8844624161720276,0.8844624161720276,0.8844624161720276,1,ERBB2,0
CDK6,0.799866259098053,0.799866259098053,0.799866259098053,0.799866259098053,1,ERBB2,0
FOS,0.7919007539749146,0.7919007539749146,0.7919007539749146,0.7919007539749146,1,BRCA1,0
MAP2K1,0.7462452054023743,0.7462452054023743,0.7462452054023743,0.7462452054023743,1,BRCA1,0
SOS2,0.7420488893985748,0.7420488893985748,0.8704330325126648,0.6136647462844849,2,TP53,0
GRB2,0.7413145303726196,0.7413145303726196,0.7413145303726196,0.7413145303726196,1,BRCA1,0
SP1,0.7401121854782104,0.7401121854782104,0.7856884002685547,0.6945359706878662,2,ERBB2,0
RPS6KB1,0.7371434271335602,0.7371434271335602,0.8779102563858032,0.5963765978813171,2,ERBB2,0
RPS6KB2,0.6871774196624756,0.6871774196624756,0.7911597490310669,0.5831950902938843,2,ERBB2,0
MAP2K2,0.6527080237865448,0.6527080237865448,0.7963184714317322,0.5090975761413574,2,ERBB2,0
FLT4,0.6476773321628571,0.6476773321628571,0.8318517208099365,0.4635029435157776,2,ESR1,0
PIK3CB,0.6299989968538284,0.6299989968538284,0.9547266364097595,0.30527135729789734,2,ESR1,0
SHC3,0.6287049253781637,0.6287049253781637,0.7487866878509521,0.49311500787734985,3,PIK3CA,0
ARAF,0.62326380610466,0.62326380610466,0.7785840630531311,0.36775287985801697,3,ERBB2,0
SOS1,0.609656497836113,0.609656497836113,0.9356901049613953,0.2836228907108307,2,ESR1,0
NCOA1,0.5813188552856445,0.5813188552856445,0.5813188552856445,0.5813188552856445,1,PIK3CA,0
