#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	DVL2	9606.ENSP00000451828	9606.ENSP00000005340	0	0	0	0	0.095	0.093	0	0.387	0.453
AKT1	FGF4	9606.ENSP00000451828	9606.ENSP00000168712	0	0	0	0	0	0	0	0.664	0.664
AKT1	FGF20	9606.ENSP00000451828	9606.ENSP00000180166	0	0	0	0	0	0	0	0.686	0.686
AKT1	FGF22	9606.ENSP00000451828	9606.ENSP00000215530	0	0	0	0	0	0	0	0.678	0.678
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.110	0.900	0.872	0.988
AKT1	SOS2	9606.ENSP00000451828	9606.ENSP00000216373	0	0	0	0	0.073	0.084	0	0.567	0.601
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.128	0.093	0.900	0.677	0.971
AKT1	WNT3	9606.ENSP00000451828	9606.ENSP00000225512	0	0	0	0	0	0.092	0	0.397	0.429
AKT1	RPS6KB1	9606.ENSP00000451828	9606.ENSP00000225577	0	0	0.068	0.850	0.090	0.772	0.900	0.211	0.982
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.088	0	0	0.919	0.923
AKT1	FGF6	9606.ENSP00000451828	9606.ENSP00000228837	0	0	0	0	0	0	0	0.661	0.661
AKT1	DLL4	9606.ENSP00000451828	9606.ENSP00000249749	0	0	0	0	0.057	0.098	0	0.491	0.530
AKT1	JAG1	9606.ENSP00000451828	9606.ENSP00000254958	0	0	0	0	0.057	0.098	0	0.582	0.613
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.110	0	0.893	0.904
AKT1	NOTCH2	9606.ENSP00000451828	9606.ENSP00000256646	0	0	0	0	0.125	0.098	0	0.521	0.589
AKT1	APC	9606.ENSP00000451828	9606.ENSP00000257430	0	0	0	0	0	0.097	0	0.440	0.472
AKT1	CDK4	9606.ENSP00000451828	9606.ENSP00000257904	0	0	0.112	0.601	0.068	0.231	0	0.572	0.691
AKT1	LRP6	9606.ENSP00000451828	9606.ENSP00000261349	0	0	0	0	0	0	0	0.516	0.516
AKT1	AXIN1	9606.ENSP00000451828	9606.ENSP00000262320	0	0	0	0	0.232	0.127	0	0.880	0.912
AKT1	PIK3R3	9606.ENSP00000451828	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.610	0.962
AKT1	E2F3	9606.ENSP00000451828	9606.ENSP00000262904	0	0	0	0	0.062	0.057	0	0.507	0.526
AKT1	MAP2K2	9606.ENSP00000451828	9606.ENSP00000262948	0	0	0	0.630	0.157	0.161	0	0.471	0.593
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0	0.587	0.266	0.110	0.900	0.432	0.957
AKT1	NOTCH3	9606.ENSP00000451828	9606.ENSP00000263388	0	0	0	0	0.089	0.098	0	0.518	0.570
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	FGF2	9606.ENSP00000451828	9606.ENSP00000264498	0	0	0	0	0	0	0.500	0.859	0.926
AKT1	WNT5A	9606.ENSP00000451828	9606.ENSP00000264634	0	0	0	0	0	0.092	0	0.736	0.750
AKT1	FGF10	9606.ENSP00000451828	9606.ENSP00000264664	0	0	0	0	0	0	0	0.682	0.682
AKT1	LEF1	9606.ENSP00000451828	9606.ENSP00000265165	0	0	0	0	0.078	0.045	0	0.512	0.533
AKT1	EGF	9606.ENSP00000451828	9606.ENSP00000265171	0	0	0	0	0	0	0	0.933	0.933
AKT1	WNT2	9606.ENSP00000451828	9606.ENSP00000265441	0	0	0	0	0	0.092	0	0.528	0.553
AKT1	CDK6	9606.ENSP00000451828	9606.ENSP00000265734	0	0	0	0.603	0.042	0.228	0	0.307	0.443
AKT1	RB1	9606.ENSP00000451828	9606.ENSP00000267163	0	0	0	0	0.060	0.045	0	0.576	0.586
AKT1	FGF7	9606.ENSP00000451828	9606.ENSP00000267843	0	0	0	0	0	0	0	0.686	0.686
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	ERBB2	9606.ENSP00000451828	9606.ENSP00000269571	0	0	0	0.561	0.060	0.222	0	0.436	0.552
AKT1	FGF18	9606.ENSP00000451828	9606.ENSP00000274625	0	0	0	0	0	0	0	0.663	0.663
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0	0	0.559	0.042	0.640	0	0.445	0.792
AKT1	WNT3A	9606.ENSP00000451828	9606.ENSP00000284523	0	0	0	0	0	0.092	0	0.597	0.618
AKT1	WNT7A	9606.ENSP00000451828	9606.ENSP00000285018	0	0	0	0	0	0.092	0	0.401	0.433
AKT1	FZD7	9606.ENSP00000451828	9606.ENSP00000286201	0	0	0	0	0	0.071	0	0.387	0.406
AKT1	KIT	9606.ENSP00000451828	9606.ENSP00000288135	0	0	0	0	0.079	0.074	0	0.804	0.818
AKT1	WNT4	9606.ENSP00000451828	9606.ENSP00000290167	0	0	0	0	0	0.092	0	0.580	0.602
AKT1	ARAF	9606.ENSP00000451828	9606.ENSP00000290277	0	0	0.144	0.589	0.076	0.175	0	0.232	0.432
AKT1	BAX	9606.ENSP00000451828	9606.ENSP00000293288	0	0	0	0	0.160	0.292	0	0.631	0.761
AKT1	WNT1	9606.ENSP00000451828	9606.ENSP00000293549	0	0	0	0	0	0.092	0	0.561	0.584
AKT1	LRP5	9606.ENSP00000451828	9606.ENSP00000294304	0	0	0	0	0.086	0	0	0.517	0.540
AKT1	FGF19	9606.ENSP00000451828	9606.ENSP00000294312	0	0	0	0	0	0	0	0.450	0.450
AKT1	MAP2K1	9606.ENSP00000451828	9606.ENSP00000302486	0	0	0.100	0.632	0.060	0.161	0	0.366	0.490
AKT1	AXIN2	9606.ENSP00000451828	9606.ENSP00000302625	0	0	0	0	0.051	0.127	0	0.510	0.558
AKT1	FOS	9606.ENSP00000451828	9606.ENSP00000306245	0	0	0	0	0.069	0.096	0	0.722	0.746
AKT1	RPS6KB2	9606.ENSP00000451828	9606.ENSP00000308413	0	0	0.072	0.850	0.107	0.357	0.900	0.189	0.949
AKT1	FGF5	9606.ENSP00000451828	9606.ENSP00000311697	0	0	0	0	0	0	0	0.662	0.662
AKT1	DVL3	9606.ENSP00000451828	9606.ENSP00000316054	0	0	0	0	0.076	0.093	0	0.345	0.403
AKT1	FGF8	9606.ENSP00000451828	9606.ENSP00000321797	0	0	0	0	0	0	0	0.659	0.659
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0	0.579	0.138	0.929	0.900	0.428	0.996
AKT1	PGR	9606.ENSP00000451828	9606.ENSP00000325120	0	0	0	0	0.067	0.071	0	0.664	0.683
AKT1	WNT11	9606.ENSP00000451828	9606.ENSP00000325526	0	0	0	0	0	0.092	0	0.608	0.629
AKT1	JAG2	9606.ENSP00000451828	9606.ENSP00000328169	0	0	0	0	0.087	0.098	0	0.432	0.491
AKT1	SP1	9606.ENSP00000451828	9606.ENSP00000329357	0	0	0	0	0.067	0.314	0	0.544	0.682
AKT1	FGF3	9606.ENSP00000451828	9606.ENSP00000334122	0	0	0	0	0.042	0	0	0.664	0.664
AKT1	HEY1	9606.ENSP00000451828	9606.ENSP00000338272	0	0	0	0	0	0.071	0	0.417	0.436
AKT1	ESR2	9606.ENSP00000451828	9606.ENSP00000343925	0	0	0	0	0.055	0.071	0	0.669	0.684
AKT1	E2F1	9606.ENSP00000451828	9606.ENSP00000345571	0	0	0	0	0.094	0.057	0	0.782	0.797
